,yr_id,full_name,jobs
,2030,Manufacturing,77
,2030,Construction,20
,2030,Agriculture and Mining,65
,2030,Military,76
,2025,Self-Employed,31
,2025,Government,66
,2025,Office Services,89
,2025,Leisure and Hospitality,94
,2025,Education and Healthcare,60
,2025,Professional and Business Services,69
,2025,Finance and Real Estate,29
,2025,Information,79
,2025,"Transporation, Warehousing, and Utilities",78
,2025,Retail Trade,43
,2025,Wholesale Trade,97
,2025,Manufacturing,98
,2025,Construction,44
,2025,Agriculture and Mining,96
,2025,Military,62
,2020,Self-Employed,64
,2020,Government,27
,2020,Office Services,43
,2020,Leisure and Hospitality,52
,2020,Education and Healthcare,20
,2020,Professional and Business Services,48
,2020,Finance and Real Estate,36
,2020,Information,100
,2020,"Transporation, Warehousing, and Utilities",81
,2020,Retail Trade,27
,2020,Wholesale Trade,77
,2020,Manufacturing,52
,2020,Construction,95
,2020,Agriculture and Mining,94
,2020,Military,60
,2015,Self-Employed,46
,2015,Government,61
,2015,Office Services,22
,2015,Leisure and Hospitality,58
,2015,Education and Healthcare,42
,2015,Professional and Business Services,71
,2015,Finance and Real Estate,22
,2015,Information,57
,2015,"Transporation, Warehousing, and Utilities",80
,2015,Retail Trade,44
,2015,Wholesale Trade,81
,2015,Manufacturing,67
,2015,Construction,22
,2015,Agriculture and Mining,33
,2015,Military,32
,2008,Self-Employed,56
,2008,Government,77
,2008,Office Services,60
,2008,Leisure and Hospitality,82
,2008,Education and Healthcare,56
,2008,Professional and Business Services,39
,2008,Finance and Real Estate,59
,2008,Information,24
,2008,"Transporation, Warehousing, and Utilities",98
,2008,Retail Trade,66
,2008,Wholesale Trade,60
,2008,Manufacturing,69
,2008,Construction,92
,2008,Agriculture and Mining,67
,2008,Military,54
,2050,Self-Employed,34
,2050,Government,25
,2050,Office Services,20
,2050,Leisure and Hospitality,40
,2050,Education and Healthcare,59
,2050,Professional and Business Services,22
,2050,Finance and Real Estate,36
,2050,Information,64
,2050,"Transporation, Warehousing, and Utilities",65
,2050,Retail Trade,69
,2050,Wholesale Trade,38
,2050,Manufacturing,27
,2050,Construction,58
,2050,Agriculture and Mining,82
,2050,Military,99
,2045,Self-Employed,93
,2045,Government,88
,2045,Office Services,78
,2045,Leisure and Hospitality,27
,2045,Education and Healthcare,50
,2045,Professional and Business Services,96
,2045,Finance and Real Estate,78
,2045,Information,85
,2045,"Transporation, Warehousing, and Utilities",67
,2045,Retail Trade,71
,2045,Wholesale Trade,55
,2045,Manufacturing,96
,2045,Construction,70
,2045,Agriculture and Mining,74
,2045,Military,90
,2040,Self-Employed,81
,2040,Government,78
,2040,Office Services,45
,2040,Leisure and Hospitality,56
,2040,Education and Healthcare,21
,2040,Professional and Business Services,72
,2040,Finance and Real Estate,95
,2040,Information,76
,2040,"Transporation, Warehousing, and Utilities",64
,2040,Retail Trade,56
,2040,Wholesale Trade,30
,2040,Manufacturing,99
,2040,Construction,33
,2040,Agriculture and Mining,62
,2040,Military,62
,2035,Self-Employed,21
,2035,Government,40
,2035,Office Services,50
,2035,Leisure and Hospitality,27
,2035,Education and Healthcare,92
,2035,Professional and Business Services,27
,2035,Finance and Real Estate,27
,2035,Information,97
,2035,"Transporation, Warehousing, and Utilities",67
,2035,Retail Trade,57
,2035,Wholesale Trade,66
,2035,Manufacturing,66
,2035,Construction,83
,2035,Agriculture and Mining,83
,2035,Military,62
,2030,Self-Employed,38
,2030,Government,81
,2030,Office Services,78
,2030,Leisure and Hospitality,70
,2030,Education and Healthcare,90
,2030,Professional and Business Services,99
,2030,Finance and Real Estate,76
,2030,Information,84
,2030,"Transporation, Warehousing, and Utilities",93
,2030,Retail Trade,96
,2030,Wholesale Trade,54
,2030,Manufacturing,22
,2030,Construction,41
,2030,Agriculture and Mining,39
,2030,Military,84
,2025,Self-Employed,85
,2025,Government,69
,2025,Office Services,26
,2025,Leisure and Hospitality,69
,2025,Education and Healthcare,49
,2025,Professional and Business Services,79
,2025,Finance and Real Estate,65
,2025,Information,63
,2025,"Transporation, Warehousing, and Utilities",28
,2025,Retail Trade,69
,2025,Wholesale Trade,89
,2025,Manufacturing,51
,2025,Construction,37
,2025,Agriculture and Mining,58
,2025,Military,97
,2020,Self-Employed,96
,2020,Government,82
,2020,Office Services,29
,2020,Leisure and Hospitality,91
,2020,Education and Healthcare,51
,2020,Professional and Business Services,79
,2020,Finance and Real Estate,26
,2020,Information,62
,2020,"Transporation, Warehousing, and Utilities",77
,2020,Retail Trade,76
,2020,Wholesale Trade,84
,2020,Manufacturing,92
,2020,Construction,95
,2020,Agriculture and Mining,63
,2020,Military,84
,2015,Self-Employed,66
,2015,Government,81
,2015,Office Services,81
,2015,Leisure and Hospitality,64
,2015,Education and Healthcare,70
,2015,Professional and Business Services,100
,2015,Finance and Real Estate,81
,2015,Information,82
,2015,"Transporation, Warehousing, and Utilities",93
,2015,Retail Trade,87
,2015,Wholesale Trade,94
,2015,Manufacturing,38
,2015,Construction,21
,2015,Agriculture and Mining,91
,2015,Military,26
,2008,Self-Employed,97
,2008,Government,66
,2008,Office Services,46
,2008,Leisure and Hospitality,93
,2008,Education and Healthcare,51
,2008,Professional and Business Services,38
,2008,Finance and Real Estate,52
,2008,Information,68
,2008,"Transporation, Warehousing, and Utilities",51
,2008,Retail Trade,98
,2008,Wholesale Trade,69
,2008,Manufacturing,93
,2008,Construction,68
,2008,Agriculture and Mining,83
,2008,Military,75
,2050,Self-Employed,30
,2050,Government,42
,2050,Office Services,28
,2050,Leisure and Hospitality,24
,2050,Education and Healthcare,38
,2050,Professional and Business Services,28
,2050,Finance and Real Estate,95
,2050,Information,64
,2050,"Transporation, Warehousing, and Utilities",64
,2050,Retail Trade,41
,2050,Wholesale Trade,34
,2050,Manufacturing,74
,2050,Construction,96
,2050,Agriculture and Mining,67
,2050,Military,57
,2045,Self-Employed,70
,2045,Government,49
,2045,Office Services,93
,2045,Leisure and Hospitality,58
,2045,Education and Healthcare,30
,2045,Professional and Business Services,83
,2045,Finance and Real Estate,26
,2045,Information,53
,2045,"Transporation, Warehousing, and Utilities",72
,2045,Retail Trade,89
,2045,Wholesale Trade,91
,2045,Manufacturing,42
,2045,Construction,85
,2045,Agriculture and Mining,45
,2045,Military,67
,2040,Self-Employed,74
,2040,Government,99
,2040,Office Services,73
,2040,Leisure and Hospitality,65
,2040,Education and Healthcare,54
,2040,Professional and Business Services,54
,2040,Finance and Real Estate,22
,2040,Information,88
,2040,"Transporation, Warehousing, and Utilities",91
,2040,Retail Trade,96
,2040,Wholesale Trade,94
,2040,Manufacturing,33
,2040,Construction,23
,2040,Agriculture and Mining,52
,2040,Military,35
,2035,Self-Employed,67
,2035,Government,47
,2035,Office Services,84
,2035,Leisure and Hospitality,97
,2035,Education and Healthcare,82
,2035,Professional and Business Services,69
,2035,Finance and Real Estate,58
,2035,Information,43
,2035,"Transporation, Warehousing, and Utilities",45
,2035,Retail Trade,79
,2035,Wholesale Trade,43
,2035,Manufacturing,80
,2035,Construction,55
,2035,Agriculture and Mining,62
,2035,Military,44
,2030,Self-Employed,53
,2030,Government,36
,2030,Office Services,22
,2030,Leisure and Hospitality,90
,2030,Education and Healthcare,36
,2030,Professional and Business Services,86
,2030,Finance and Real Estate,47
,2030,Information,33
,2030,"Transporation, Warehousing, and Utilities",90
,2030,Retail Trade,96
,2030,Wholesale Trade,77
,2030,Manufacturing,76
,2030,Construction,98
,2030,Agriculture and Mining,20
,2030,Military,91
,2025,Self-Employed,40
,2025,Government,66
,2025,Office Services,65
,2025,Leisure and Hospitality,73
,2025,Education and Healthcare,88
,2025,Professional and Business Services,27
,2025,Finance and Real Estate,92
,2025,Information,26
,2025,"Transporation, Warehousing, and Utilities",45
,2025,Retail Trade,43
,2025,Wholesale Trade,31
,2025,Manufacturing,62
,2025,Construction,69
,2025,Agriculture and Mining,80
,2025,Military,32
,2020,Self-Employed,62
,2020,Government,88
,2020,Office Services,80
,2020,Leisure and Hospitality,89
,2020,Education and Healthcare,62
,2020,Professional and Business Services,31
,2020,Finance and Real Estate,73
,2020,Information,68
,2020,"Transporation, Warehousing, and Utilities",23
,2020,Retail Trade,59
,2020,Wholesale Trade,63
,2020,Manufacturing,47
,2020,Construction,47
,2020,Agriculture and Mining,57
,2020,Military,70
,2015,Self-Employed,62
,2015,Government,81
,2015,Office Services,20
,2015,Leisure and Hospitality,34
,2015,Education and Healthcare,94
,2015,Professional and Business Services,100
,2015,Finance and Real Estate,47
,2015,Information,28
,2015,"Transporation, Warehousing, and Utilities",77
,2015,Retail Trade,78
,2015,Wholesale Trade,49
,2015,Manufacturing,45
,2015,Construction,72
,2015,Agriculture and Mining,54
,2015,Military,64
,2008,Self-Employed,92
,2008,Government,34
,2008,Office Services,69
,2008,Leisure and Hospitality,45
,2008,Education and Healthcare,94
,2008,Professional and Business Services,72
,2008,Finance and Real Estate,83
,2008,Information,66
,2008,"Transporation, Warehousing, and Utilities",30
,2008,Retail Trade,48
,2008,Wholesale Trade,26
,2008,Manufacturing,79
,2008,Construction,97
,2008,Agriculture and Mining,86
,2008,Military,84
,2050,Self-Employed,76
,2050,Government,99
,2050,Office Services,61
,2050,Leisure and Hospitality,56
,2050,Education and Healthcare,99
,2050,Professional and Business Services,79
,2050,Finance and Real Estate,32
,2050,Information,38
,2050,"Transporation, Warehousing, and Utilities",23
,2050,Retail Trade,92
,2050,Wholesale Trade,20
,2050,Manufacturing,96
,2050,Construction,22
,2050,Agriculture and Mining,57
,2050,Military,45
,2045,Self-Employed,30
,2045,Government,50
,2045,Office Services,85
,2045,Leisure and Hospitality,32
,2045,Education and Healthcare,87
,2045,Professional and Business Services,90
,2045,Finance and Real Estate,44
,2045,Information,37
,2045,"Transporation, Warehousing, and Utilities",89
,2045,Retail Trade,22
,2045,Wholesale Trade,75
,2045,Manufacturing,32
,2045,Construction,50
,2045,Agriculture and Mining,31
,2045,Military,62
,2040,Self-Employed,58
,2040,Government,22
,2040,Office Services,71
,2040,Leisure and Hospitality,81
,2040,Education and Healthcare,76
,2040,Professional and Business Services,25
,2040,Finance and Real Estate,57
,2040,Information,52
,2040,"Transporation, Warehousing, and Utilities",73
,2040,Retail Trade,28
,2040,Wholesale Trade,69
,2040,Manufacturing,55
,2040,Construction,36
,2040,Agriculture and Mining,40
,2040,Military,59
,2035,Self-Employed,24
,2035,Government,91
,2035,Office Services,73
,2035,Leisure and Hospitality,66
,2035,Education and Healthcare,89
,2035,Professional and Business Services,90
,2035,Finance and Real Estate,37
,2035,Information,89
,2035,"Transporation, Warehousing, and Utilities",100
,2035,Retail Trade,81
,2035,Wholesale Trade,35
,2035,Manufacturing,39
,2035,Construction,31
,2035,Agriculture and Mining,97
,2035,Military,27
,2030,Self-Employed,20
,2030,Government,36
,2030,Office Services,73
,2030,Leisure and Hospitality,54
,2030,Education and Healthcare,50
,2030,Professional and Business Services,28
,2030,Finance and Real Estate,75
,2030,Information,43
,2030,"Transporation, Warehousing, and Utilities",50
,2030,Retail Trade,91
,2030,Wholesale Trade,78
,2030,Manufacturing,20
,2030,Construction,36
,2030,Agriculture and Mining,82
,2030,Military,95
,2025,Self-Employed,81
,2025,Government,65
,2025,Office Services,35
,2025,Leisure and Hospitality,34
,2025,Education and Healthcare,42
,2025,Professional and Business Services,87
,2025,Finance and Real Estate,59
,2025,Information,82
,2025,"Transporation, Warehousing, and Utilities",56
,2025,Retail Trade,46
,2025,Wholesale Trade,62
,2025,Manufacturing,40
,2025,Construction,85
,2025,Agriculture and Mining,48
,2025,Military,85
,2020,Self-Employed,54
,2020,Government,64
,2020,Office Services,21
,2020,Leisure and Hospitality,73
,2020,Education and Healthcare,20
,2020,Professional and Business Services,76
,2020,Finance and Real Estate,55
,2020,Information,35
,2020,"Transporation, Warehousing, and Utilities",94
,2020,Retail Trade,64
,2020,Wholesale Trade,62
,2020,Manufacturing,63
,2020,Construction,47
,2020,Agriculture and Mining,46
,2020,Military,54
,2015,Self-Employed,28
,2015,Government,27
,2015,Office Services,23
,2015,Leisure and Hospitality,22
,2015,Education and Healthcare,52
,2015,Professional and Business Services,42
,2015,Finance and Real Estate,99
,2015,Information,39
,2015,"Transporation, Warehousing, and Utilities",69
,2015,Retail Trade,61
,2015,Wholesale Trade,99
,2015,Manufacturing,27
,2015,Construction,21
,2015,Agriculture and Mining,85
,2015,Military,45
,2008,Self-Employed,88
,2008,Government,87
,2008,Office Services,38
,2008,Leisure and Hospitality,71
,2008,Education and Healthcare,25
,2008,Professional and Business Services,42
,2008,Finance and Real Estate,46
,2008,Information,56
,2008,"Transporation, Warehousing, and Utilities",52
,2008,Retail Trade,99
,2008,Wholesale Trade,36
,2008,Manufacturing,31
,2008,Construction,36
,2008,Agriculture and Mining,98
,2008,Military,24
,2050,Self-Employed,68
,2050,Government,84
,2050,Office Services,22
,2050,Leisure and Hospitality,79
,2050,Education and Healthcare,36
,2050,Professional and Business Services,74
,2050,Finance and Real Estate,24
,2050,Information,32
,2050,"Transporation, Warehousing, and Utilities",23
,2050,Retail Trade,90
,2050,Wholesale Trade,65
,2050,Manufacturing,77
,2050,Construction,37
,2050,Agriculture and Mining,94
,2050,Military,32
,2045,Self-Employed,66
,2045,Government,85
,2045,Office Services,40
,2045,Leisure and Hospitality,45
,2045,Education and Healthcare,96
,2045,Professional and Business Services,55
,2045,Finance and Real Estate,39
,2045,Information,59
,2045,"Transporation, Warehousing, and Utilities",71
,2045,Retail Trade,74
,2045,Wholesale Trade,88
,2045,Manufacturing,88
,2045,Construction,90
,2045,Agriculture and Mining,34
,2045,Military,64
,2040,Self-Employed,54
,2040,Government,72
,2040,Office Services,95
,2040,Leisure and Hospitality,98
,2040,Education and Healthcare,49
,2040,Professional and Business Services,24
,2040,Finance and Real Estate,58
,2040,Information,39
,2040,"Transporation, Warehousing, and Utilities",42
,2040,Retail Trade,91
,2040,Wholesale Trade,39
,2040,Manufacturing,27
,2040,Construction,56
,2040,Agriculture and Mining,92
,2040,Military,64
,2035,Self-Employed,40
,2035,Government,61
,2035,Office Services,47
,2035,Leisure and Hospitality,45
,2035,Education and Healthcare,33
,2035,Professional and Business Services,57
,2035,Finance and Real Estate,48
,2035,Information,30
,2035,"Transporation, Warehousing, and Utilities",70
,2035,Retail Trade,66
,2035,Wholesale Trade,32
,2035,Manufacturing,60
,2035,Construction,67
,2035,Agriculture and Mining,43
,2035,Military,99
,2030,Self-Employed,65
,2030,Government,89
,2030,Office Services,86
,2030,Leisure and Hospitality,71
,2030,Education and Healthcare,53
,2030,Professional and Business Services,68
,2030,Finance and Real Estate,90
,2030,Information,26
,2030,"Transporation, Warehousing, and Utilities",27
,2030,Retail Trade,87
,2030,Wholesale Trade,77
,2030,Manufacturing,90
,2030,Construction,99
,2030,Agriculture and Mining,62
,2030,Military,84
,2025,Self-Employed,32
,2025,Government,47
,2025,Office Services,63
,2025,Leisure and Hospitality,41
,2025,Education and Healthcare,49
,2025,Professional and Business Services,55
,2025,Finance and Real Estate,36
,2025,Information,46
,2025,"Transporation, Warehousing, and Utilities",95
,2025,Retail Trade,31
,2025,Wholesale Trade,37
,2025,Manufacturing,62
,2025,Construction,49
,2025,Agriculture and Mining,48
,2025,Military,62
,2020,Self-Employed,87
,2020,Government,93
,2020,Office Services,75
,2020,Leisure and Hospitality,81
,2020,Education and Healthcare,51
,2020,Professional and Business Services,60
,2020,Finance and Real Estate,72
,2020,Information,89
,2020,"Transporation, Warehousing, and Utilities",66
,2020,Retail Trade,34
,2020,Wholesale Trade,24
,2020,Manufacturing,84
,2020,Construction,62
,2020,Agriculture and Mining,46
,2020,Military,25
,2015,Self-Employed,67
,2015,Government,39
,2015,Office Services,28
,2015,Leisure and Hospitality,87
,2015,Education and Healthcare,65
,2015,Professional and Business Services,33
,2015,Finance and Real Estate,34
,2015,Information,63
,2015,"Transporation, Warehousing, and Utilities",65
,2015,Retail Trade,34
,2015,Wholesale Trade,75
,2015,Manufacturing,27
,2015,Construction,50
,2015,Agriculture and Mining,57
,2015,Military,28
,2008,Self-Employed,43
,2008,Government,45
,2008,Office Services,75
,2008,Leisure and Hospitality,66
,2008,Education and Healthcare,30
,2008,Professional and Business Services,67
,2008,Finance and Real Estate,63
,2008,Information,39
,2008,"Transporation, Warehousing, and Utilities",72
,2008,Retail Trade,64
,2008,Wholesale Trade,56
,2008,Manufacturing,70
,2008,Construction,44
,2008,Agriculture and Mining,90
,2008,Military,33
,2050,Self-Employed,64
,2050,Government,27
,2050,Office Services,22
,2050,Leisure and Hospitality,47
,2050,Education and Healthcare,24
,2050,Professional and Business Services,59
,2050,Finance and Real Estate,60
,2050,Information,73
,2050,"Transporation, Warehousing, and Utilities",82
,2050,Retail Trade,56
,2050,Wholesale Trade,41
,2050,Manufacturing,86
,2050,Construction,82
,2050,Agriculture and Mining,52
,2050,Military,62
,2045,Self-Employed,23
,2045,Government,43
,2045,Office Services,54
,2045,Leisure and Hospitality,50
,2045,Education and Healthcare,27
,2045,Professional and Business Services,80
,2045,Finance and Real Estate,44
,2045,Information,86
,2045,"Transporation, Warehousing, and Utilities",34
,2045,Retail Trade,93
,2045,Wholesale Trade,48
,2045,Manufacturing,99
,2045,Construction,87
,2045,Agriculture and Mining,62
,2045,Military,48
,2040,Self-Employed,23
,2040,Government,24
,2040,Office Services,97
,2040,Leisure and Hospitality,84
,2040,Education and Healthcare,80
,2040,Professional and Business Services,90
,2040,Finance and Real Estate,99
,2040,Information,27
,2040,"Transporation, Warehousing, and Utilities",66
,2040,Retail Trade,69
,2040,Wholesale Trade,34
,2040,Manufacturing,82
,2040,Construction,28
,2040,Agriculture and Mining,55
,2040,Military,63
,2035,Self-Employed,63
,2035,Government,98
,2035,Office Services,94
,2035,Leisure and Hospitality,85
,2035,Education and Healthcare,52
,2035,Professional and Business Services,39
,2035,Finance and Real Estate,60
,2035,Information,61
,2035,"Transporation, Warehousing, and Utilities",75
,2035,Retail Trade,99
,2035,Wholesale Trade,49
,2035,Manufacturing,30
,2035,Construction,41
,2035,Agriculture and Mining,22
,2035,Military,20
,2030,Self-Employed,100
,2030,Government,64
,2030,Office Services,33
,2030,Leisure and Hospitality,98
,2030,Education and Healthcare,72
,2030,Professional and Business Services,40
,2030,Finance and Real Estate,60
,2030,Information,50
,2030,"Transporation, Warehousing, and Utilities",91
,2030,Retail Trade,52
,2030,Wholesale Trade,91
,2030,Manufacturing,80
,2030,Construction,67
,2030,Agriculture and Mining,58
,2030,Military,68
,2025,Self-Employed,86
,2025,Government,52
,2025,Office Services,34
,2025,Leisure and Hospitality,35
,2025,Education and Healthcare,34
,2025,Professional and Business Services,64
,2025,Finance and Real Estate,30
,2025,Information,24
,2025,"Transporation, Warehousing, and Utilities",57
,2025,Retail Trade,33
,2025,Wholesale Trade,29
,2025,Manufacturing,34
,2025,Construction,39
,2025,Agriculture and Mining,53
,2025,Military,82
,2020,Self-Employed,47
,2020,Government,78
,2020,Office Services,82
,2020,Leisure and Hospitality,36
,2020,Education and Healthcare,62
,2020,Professional and Business Services,44
,2020,Finance and Real Estate,47
,2020,Information,27
,2020,"Transporation, Warehousing, and Utilities",100
,2020,Retail Trade,51
,2020,Wholesale Trade,53
,2020,Manufacturing,94
,2020,Construction,76
,2020,Agriculture and Mining,97
,2020,Military,76
,2015,Self-Employed,26
,2015,Government,55
,2015,Office Services,57
,2015,Leisure and Hospitality,38
,2015,Education and Healthcare,43
,2015,Professional and Business Services,42
,2015,Finance and Real Estate,36
,2015,Information,67
,2015,"Transporation, Warehousing, and Utilities",49
,2015,Retail Trade,69
,2015,Wholesale Trade,58
,2015,Manufacturing,21
,2015,Construction,63
,2015,Agriculture and Mining,48
,2015,Military,73
,2008,Self-Employed,20
,2008,Government,60
,2008,Office Services,67
,2008,Leisure and Hospitality,43
,2008,Education and Healthcare,61
,2008,Professional and Business Services,98
,2008,Finance and Real Estate,62
,2008,Information,81
,2008,"Transporation, Warehousing, and Utilities",89
,2008,Retail Trade,55
,2008,Wholesale Trade,62
,2008,Manufacturing,87
,2008,Construction,52
,2008,Agriculture and Mining,61
,2008,Military,75
,2050,Self-Employed,37
,2050,Government,83
,2050,Office Services,48
,2050,Leisure and Hospitality,96
,2050,Education and Healthcare,47
,2050,Professional and Business Services,28
,2050,Finance and Real Estate,51
,2050,Information,60
,2050,"Transporation, Warehousing, and Utilities",99
,2050,Retail Trade,27
,2050,Wholesale Trade,97
,2050,Manufacturing,100
,2050,Construction,65
,2050,Agriculture and Mining,44
,2050,Military,43
,2045,Self-Employed,56
,2045,Government,63
,2045,Office Services,38
,2045,Leisure and Hospitality,100
,2045,Education and Healthcare,92
,2045,Professional and Business Services,45
,2045,Finance and Real Estate,66
,2045,Information,27
,2045,"Transporation, Warehousing, and Utilities",75
,2045,Retail Trade,82
,2045,Wholesale Trade,93
,2045,Manufacturing,21
,2045,Construction,25
,2045,Agriculture and Mining,56
,2045,Military,82
,2040,Self-Employed,44
,2040,Government,66
,2040,Office Services,86
,2040,Leisure and Hospitality,54
,2040,Education and Healthcare,69
,2040,Professional and Business Services,34
,2040,Finance and Real Estate,73
,2040,Information,43
,2040,"Transporation, Warehousing, and Utilities",58
,2040,Retail Trade,28
,2040,Wholesale Trade,39
,2040,Manufacturing,35
,2040,Construction,81
,2040,Agriculture and Mining,23
,2040,Military,100
,2035,Self-Employed,83
,2035,Government,77
,2035,Office Services,54
,2035,Leisure and Hospitality,34
,2035,Education and Healthcare,27
,2035,Professional and Business Services,54
,2035,Finance and Real Estate,47
,2035,Information,38
,2035,"Transporation, Warehousing, and Utilities",66
,2035,Retail Trade,87
,2035,Wholesale Trade,75
,2035,Manufacturing,29
,2035,Construction,58
,2035,Agriculture and Mining,61
,2035,Military,70
,2030,Self-Employed,100
,2030,Government,38
,2030,Office Services,53
,2030,Leisure and Hospitality,26
,2030,Education and Healthcare,65
,2030,Professional and Business Services,73
,2030,Finance and Real Estate,42
,2030,Information,51
,2030,"Transporation, Warehousing, and Utilities",20
,2030,Retail Trade,34
,2030,Wholesale Trade,57
,2030,Manufacturing,49
,2030,Construction,80
,2030,Agriculture and Mining,43
,2030,Military,38
,2025,Self-Employed,57
,2025,Government,81
